Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Snam,$16.99 B,Italy,$5.07,0.49%,0.40%,"⚡ Energy, 🛣️ Infrastructure"
Nan Ya Plastics,$17.05 B,Taiwan,$2.15,-0.73%,-10.04%,🧪 Chemicals
CK Asset Holdings,$17.02 B,Hong Kong,$4.80,0.27%,-18.23%,🏠 Real estate
Atmos Energy,$16.84 B,USA,$113.46,-0.93%,-3.44%,🚰 Utility companies
Saudi Arabian Fertilizer Company,$16.94 B,Saudi Arabia,$35.60,-1.04%,-2.84%,🌱 Fertilizer companies
Tyler Technologies,$16.97 B,USA,$403.07,0.23%,26.58%,"👨‍💻 Software, 👩‍💻 Tech"
Wilmar International,$16.88 B,Singapore,$2.71,2.25%,-8.75%,🍴 Food
Mitsubishi Estate,$16.90 B,Japan,$13.33,-3.00%,-1.19%,🏠 Real estate
Check Point Software,$17.04 B,Israel,$145.72,0.81%,11.01%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
Brookfield Renewable Partners,$16.69 B,Bermuda,$25.24,-0.86%,-7.65%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
FactSet,$16.86 B,USA,$443.89,0.40%,-1.64%,"👨‍💻 Software, 💳 Financial services, 👩‍💻 Tech"
Inpex,$16.85 B,Japan,$13.22,-2.83%,24.72%,"🛢 Oil&Gas, ⚡ Energy"
CMS Energy,$16.96 B,USA,$58.15,0.36%,-6.21%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Aristocrat,$16.74 B,Australia,$25.82,-0.81%,13.10%,"🎰 Gambling, 🎮 Video games, Entertainment"
Cooper Companies,$16.59 B,USA,$335.00,-2.88%,4.87%,👓 Glasses and contact lenses
Westlake Chemical,$16.56 B,USA,$129.25,-0.22%,20.86%,🧪 Chemicals
Bank of Jiangsu,$16.75 B,China,$0.91,0.15%,-15.74%,"🏦 Banks, 💳 Financial services"
DraftKings,$16.73 B,USA,$35.90,1.38%,145.72%,"🖥️ Internet, 🎰 Gambling, Entertainment"
Everest Group,$16.69 B,Bermuda,$384.78,0.37%,15.29%,🏦 Insurance
LPL Financial,$16.94 B,USA,$224.11,3.59%,0.93%,💳 Financial services
Elm Company,$16.68 B,Saudi Arabia,$208.58,0.31%,138.11%,💰 Investment
Huatai Securities,$16.67 B,China,$1.97,-0.98%,3.68%,💳 Financial services
BT Group,$16.54 B,UK,$1.66,-1.67%,21.17%,📡 Telecommunication
Skyworks Solutions,$16.60 B,USA,$103.78,1.47%,9.05%,"📟 Semiconductors, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Varun Beverages,$16.63 B,India,$12.80,-0.93%,-22.98%,🥤 Beverages
Seagate Technology,$16.85 B,Ireland,$80.59,2.30%,48.06%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Seres Group,$16.62 B,China,$11.03,-1.79%,60.79%,"🚗 Automakers, 🏭 Manufacturing"
Sun Communities,$16.56 B,USA,$127.64,-1.35%,-10.77%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Hubbell,$16.52 B,USA,$308.17,0.63%,22.82%,🔌 Electronics
NTT Data,$16.60 B,Japan,$11.84,-2.90%,-19.84%,"💼 Professional services, 🖥️ IT services"
Align Technology,$16.94 B,USA,$221.23,2.13%,16.16%,"👩‍💻 Tech, Medical devices"
Terna,$16.60 B,Italy,$8.28,0.60%,7.95%,"🔋 Electricity, ⚡ Energy, 🛣️ Infrastructure"
Vanke,$16.66 B,China,$0.91,-2.07%,-56.87%,N/A
Northern Trust,$16.64 B,USA,$80.39,0.66%,-7.72%,💳 Financial services
Yum China,$16.28 B,China,$39.91,-0.10%,-31.24%,"🍔 Restaurant chains, 🍴 Food"
Abu Dhabi Commercial Bank (ADCB),$16.50 B,eu United Arab Emirates,$2.25,-0.84%,-9.27%,"🏦 Banks, 💳 Financial services"
Hologic,$16.40 B,USA,$68.37,-1.23%,-8.60%,Medical devices
Weichai Power,$16.44 B,China,$1.72,-1.47%,29.32%,🏭 Manufacturing
Sungrow Power Supply,$16.38 B,China,$11.03,-0.60%,-28.28%,"🌞 Renewable energy, ⚡ Energy, 🏭 Manufacturing"
Siemens India,$16.35 B,India,$45.91,-0.13%,28.20%,N/A
Hindustan Zinc,$16.37 B,India,$3.87,-0.46%,0.26%,N/A
Regions Financial,$16.22 B,USA,$17.44,1.10%,-20.94%,💳 Financial services
Grasim Industries,$16.35 B,India,$24.83,-0.56%,12.71%,N/A
Kubota,$16.36 B,Japan,$13.88,-3.07%,-3.14%,"⚙️ Machinery manufacturing, 🏭 Manufacturing"
ZTE,$16.28 B,China,$3.64,3.69%,-4.71%,📡 Telecommunication
Booz Allen Hamilton,$16.33 B,USA,$125.29,-0.04%,17.91%,"💼 Professional services, 🖥️ IT services"
George Weston,$16.10 B,Canada,$118.88,-0.49%,-8.19%,🍴 Food
Formosa Plastics,$16.20 B,Taiwan,$2.55,0.13%,-10.53%,🧪 Chemicals
Bolloré,$16.15 B,France,$5.69,0.57%,2.71%,🏙 Conglomerate
Omnicom,$16.21 B,USA,$81.94,-0.19%,8.37%,"💼 Professional services, ➡️ Advertising"
Jacobs Engineering,$16.04 B,USA,$127.29,-0.84%,4.29%,"💼 Professional services, 👷 Engineering"
Sompo Holdings,$16.20 B,Japan,$49.22,-2.08%,18.92%,🏦 Insurance
China Longyuan Power Group,$16.04 B,China,$0.72,1.82%,-38.98%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
Cincinnati Financial,$16.13 B,USA,$102.80,0.19%,-3.21%,🏦 Insurance
WuXi Biologics,$15.94 B,China,$7.43,-2.24%,-47.42%,"💊 Pharmaceuticals, 🧬 Biotech"
Nomura Research Institute,$16.09 B,Japan,$27.88,-3.01%,15.93%,💼 Professional services
Best Buy,$15.93 B,USA,$73.99,-0.76%,-11.28%,"🛍️ Retail, 🔌 Electronics"
Erie Indemnity,$15.98 B,USA,$305.75,-0.09%,11.56%,🏦 Insurance
Watsco,$16.02 B,USA,$411.85,2.19%,56.12%,N/A
Entegris,$16.06 B,USA,$106.99,0.74%,49.18%,"📟 Semiconductors, 👩‍💻 Tech"
Jerónimo Martins,$15.99 B,Portugal,$25.43,0.43%,17.41%,🛍️ Retail
ADNOC Drilling Company,$16.03 B,eu United Arab Emirates,$1.00,0.27%,19.05%,"🛢 Oil&Gas, ⚡ Energy"
Symrise,$15.89 B,Germany,$113.70,0.43%,3.44%,"Flavors & Fragrances, 🇩🇪 DAX"
VinFast Auto,$15.97 B,eu Vietnam,$6.85,0.44%,N/A,"🚗 Automakers, 🔋 Electric Vehicles, 🏭 Manufacturing"
PTT Exploration and Production,$16.05 B,Thailand,$4.04,1.07%,-18.22%,"🛢 Oil&Gas, ⚡ Energy"
First Solar,$15.53 B,USA,$145.38,0.83%,-4.80%,"🌞 Renewable energy, ⚡ Energy, 🏭 Manufacturing"
Air China,$15.86 B,China,$1.11,1.15%,-29.30%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Dynatrace,$15.93 B,USA,$54.13,0.35%,44.46%,"👨‍💻 Software, 👩‍💻 Tech, 🦾 AI"
Continental,$15.88 B,Germany,$79.43,0.55%,35.41%,"Tires, 🚘 Automotive Suppliers, 🇩🇪 DAX"
Sodexo,$16.00 B,France,$107.98,-1.23%,9.06%,🍴 Food
Polyus,$15.65 B,Russia,$115.41,-0.26%,N/A,N/A
Dassault Aviation,$15.60 B,France,$196.85,1.90%,19.80%,"✈️ Aircraft manufacturers, 🔫 Defense contractors, 🏭 Manufacturing"
Erste Group Bank,$16.04 B,Austria,$39.08,-1.34%,29.06%,"🏦 Banks, 💳 Financial services"
Moncler,$15.64 B,Italy,$57.91,2.44%,13.62%,"👚 Clothing, ⌚ Luxury goods"
Magna International,$15.72 B,Canada,$54.92,0.31%,-6.09%,🚘 Automotive Suppliers
HeidelbergCement,$15.71 B,Germany,$84.39,1.09%,57.44%,"Cement, 🧱 Building materials, 🇩🇪 DAX"
Tourmaline Oil,$15.60 B,Canada,$45.79,0.26%,-16.59%,"🛢 Oil&Gas, ⚡ Energy"
Telenor,$15.64 B,Norway,$11.30,0.45%,21.90%,📡 Telecommunication
Avery Dennison,$15.43 B,USA,$191.71,-1.18%,6.97%,🏭 Manufacturing
Hyundai Mobis,$15.64 B,South Korea,$172.54,0.89%,10.07%,N/A
Alfa Laval,$15.58 B,Sweden,$37.10,0.84%,28.69%,N/A
Pidilite,$15.63 B,India,$30.73,-1.05%,-8.49%,N/A
China Merchants Securities,$15.59 B,China,$1.96,1.52%,-0.51%,N/A
IDEX,$15.49 B,USA,$204.84,-0.37%,-12.51%,N/A
Celanese,$15.38 B,USA,$141.35,-0.25%,39.70%,🧪 Chemicals
Porsche SE,$15.55 B,Germany,$50.78,0.55%,-14.54%,"💳 Financial services, 💰 Investment, 🇩🇪 DAX"
Santos,$15.49 B,Australia,$4.77,6.15%,0.00%,"🛢 Oil&Gas, ⚡ Energy"
UCB,$15.52 B,Belgium,$81.83,0.53%,7.23%,"💊 Pharmaceuticals, 🧬 Biotech"
B3,$15.45 B,Brazil,$2.75,1.88%,21.68%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Western Digital,$15.51 B,USA,$47.86,1.16%,35.85%,🔌 Electronics
SGS,$15.39 B,Switzerland,$83.57,-0.30%,-8.80%,"💼 Professional services, ⚕️ Diagnostics and Testing"
PKO Bank Polski,$15.45 B,Poland,$12.36,0.55%,95.88%,"🏦 Banks, 💳 Financial services"
Sany Heavy Industry,$15.38 B,China,$1.81,-1.07%,-21.30%,N/A
Reliance Steel & Aluminum,$15.20 B,USA,$264.64,-1.12%,26.59%,"🔩 Steel producers, 🔩 Steel industry, Aluminum"
Loews Corporation,$15.36 B,USA,$68.84,0.03%,22.10%,🏙 Conglomerate
Mid-America Apartment Communities,$15.23 B,USA,$127.13,-0.04%,-22.14%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
EPAM Systems,$15.49 B,USA,$268.50,1.57%,-22.41%,"💼 Professional services, 👨‍💻 Software, 👩‍💻 Tech, 🖥️ IT services"
Adani Total Gas,$15.26 B,India,$13.88,-0.16%,-69.10%,"🛢 Oil&Gas, 🚰 Utility companies, ⚡ Energy"
Quest Diagnostics,$15.28 B,USA,$135.91,0.51%,-9.69%,⚕️ Diagnostics and Testing
Bunge,$15.18 B,USA,$104.50,0.38%,8.45%,🍴 Food
Anhui Conch Cement,$15.06 B,China,$2.27,1.11%,-36.06%,"Cement, 🧱 Building materials"
Power Finance Corp,$15.24 B,India,$4.61,1.99%,161.93%,💳 Financial services
EQT Corporation,$15.27 B,USA,$37.13,0.38%,4.03%,"🛢 Oil&Gas, ⚡ Energy"
Albemarle,$15.02 B,USA,$127.99,2.11%,-50.01%,🧪 Chemicals
Nissan,$15.22 B,Japan,$3.89,-1.84%,15.09%,"🚗 Automakers, 🏭 Manufacturing"
Avantor,$14.19 B,USA,$20.98,0.43%,-3.85%,🧪 Chemicals
Almarai,$15.14 B,Saudi Arabia,$15.24,-2.06%,8.39%,🍴 Food
JD Health,$15.13 B,China,$4.75,-1.72%,-58.55%,"🛒 E-Commerce, ⚕️ Healthcare, 🖥️ Internet, 👩‍💻 Tech, 💊 Drugstore"
Gulf Energy Development Public Company,$15.20 B,Thailand,$1.30,0.00%,-15.03%,⚡ Energy
Tatneft,$15.10 B,Russia,$6.86,0.86%,N/A,"🛢 Oil&Gas, ⚡ Energy"
Jabil,$15.22 B,USA,$119.00,2.22%,65.85%,"🔌 Electronics, 🏭 Manufacturing"
Sociedad Química y Minera,$14.69 B,Chile,$51.43,-1.10%,-43.82%,🧪 Chemicals
Bentley Systems,$14.97 B,USA,$50.59,-0.10%,28.47%,"👨‍💻 Software, 👩‍💻 Tech"
Sage Group,$15.07 B,UK,$14.79,1.69%,54.87%,"👨‍💻 Software, 👩‍💻 Tech"
NEC Corp,$15.06 B,Japan,$56.47,-0.71%,64.40%,"👩‍💻 Tech, 🔌 Electronics"
Lennox,$14.94 B,USA,$420.62,0.47%,61.64%,N/A
Leidos,$14.91 B,USA,$108.49,-0.17%,-0.54%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
KB Financial Group,$14.96 B,South Korea,$39.30,0.69%,2.08%,"🏦 Banks, 💳 Financial services"
Textron,$14.88 B,USA,$75.93,-0.42%,4.01%,"✈️ Aircraft manufacturers, 🏙 Conglomerate, 🏭 Manufacturing"
Secom,$14.97 B,Japan,$71.08,-0.73%,17.35%,N/A
Grupo Elektra,$14.95 B,Mexico,$67.45,0.00%,28.82%,🛍️ Retail
Essex Property Trust,$15.02 B,USA,$226.11,0.56%,5.71%,"🏠 Real estate, 💰 Investment"
CF Industries,$14.62 B,USA,$76.56,-1.25%,-23.55%,🌱 Fertilizer companies
Lenovo,$14.84 B,Hong Kong,$1.22,0.21%,56.41%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Snap-on,$14.68 B,USA,$278.22,-0.64%,18.82%,"🛠️ Tool manufacturers, 🏭 Manufacturing"
Astra International,$14.82 B,Indonesia,$0.37,0.00%,2.78%,🏙 Conglomerate
WiseTech Global,$14.75 B,Australia,$44.26,-2.41%,24.50%,"👨‍💻 Software, 👩‍💻 Tech"
Aviva,$14.79 B,UK,$5.40,0.28%,0.19%,🏦 Insurance
XPeng,$14.57 B,China,$15.15,-5.31%,28.17%,"🚗 Automakers, 🔋 Electric Vehicles, 🏭 Manufacturing, 🤖 Autonomous driving"
Packaging Corporation of America,$14.68 B,USA,$163.88,-0.27%,20.54%,N/A
Grupo Financiero Inbursa,$14.88 B,Mexico,$2.44,0.09%,33.33%,💳 Financial services
Eisai,$14.75 B,Japan,$51.44,-0.55%,-27.14%,"💊 Pharmaceuticals, 🧬 Biotech"
GoDaddy,$14.72 B,USA,$104.31,0.42%,38.18%,"🖥️ Internet, 👩‍💻 Tech"
Commerzbank,$14.74 B,Germany,$11.89,0.14%,45.89%,"🏦 Banks, 💳 Financial services, 🇩🇪 DAX"
Lamb Weston,$14.63 B,USA,$100.96,-0.04%,16.72%,🍴 Food
Roku,$14.72 B,USA,$103.36,2.66%,103.02%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Bouygues,$14.67 B,France,$38.86,0.64%,26.66%,"🏗 Construction, 🇫🇷 CAC 40, 🏙 Conglomerate"
Supermicro,$15.22 B,USA,$272.65,6.44%,218.48%,"👩‍💻 Tech, 🔌 Electronics, 📞 Networking hardware, 💻 Tech Hardware"
OBIC,$14.62 B,Japan,$164.96,-0.27%,8.84%,N/A
AerCap,$14.59 B,Ireland,$72.15,1.98%,22.70%,✈️ Aircraft leasing
Carlisle Companies,$14.36 B,USA,$295.10,0.33%,17.19%,🧱 Building materials
CNH Industrial,$14.53 B,UK,$11.11,1.74%,-31.46%,🚑 Specialty Vehicles
Shinhan Financial Group,$14.44 B,South Korea,$28.03,0.39%,-1.51%,N/A
Synchrony,$14.60 B,USA,$35.29,1.12%,1.06%,💳 Financial services
Prada,$14.46 B,Italy,$5.65,3.52%,1.99%,"👚 Clothing, ⌚ Luxury goods"
Enphase Energy,$14.06 B,USA,$103.01,-3.88%,-67.80%,"👨‍💻 Software, 👩‍💻 Tech, 🔌 Electronics"
China Communications Construction,$14.45 B,China,$1.06,-0.92%,-20.30%,"🏗 Construction, 👷 Engineering"
Formula One Group,$14.60 B,USA,$62.92,1.75%,4.92%,N/A
Novozymes,$14.44 B,Denmark,$52.07,-0.23%,-13.26%,🧬 Biotech
Huaneng Power,$14.40 B,China,$1.09,0.39%,5.83%,"🔋 Electricity, ⚡ Energy"
Tech Mahindra,$14.35 B,India,$14.70,0.17%,12.56%,N/A
Masco,$14.36 B,USA,$64.00,0.96%,28.90%,🏭 Manufacturing
Kingspan Group,$14.55 B,Ireland,$79.95,1.17%,44.78%,🧱 Building materials
QBE Insurance,$14.27 B,Australia,$9.55,-0.82%,8.77%,🏦 Insurance
AMH (American Homes 4 Rent),$14.50 B,USA,$35.08,1.33%,6.40%,"🏠 Real estate, 💰 Investment"
Britannia Industries,$14.28 B,India,$59.29,-1.47%,10.97%,N/A
Stanley Black & Decker,$14.23 B,USA,$92.85,-0.32%,18.63%,"🛠️ Tool manufacturers, 🏭 Manufacturing"
Celulosa Argentina,$14.27 B,ar Argentina,$1.41,0.98%,193.75%,📄 Pulp and paper
Edenred,$14.29 B,France,$57.41,1.03%,3.93%,N/A
James Hardie Industries,$14.38 B,Ireland,$32.86,-0.15%,65.29%,🧱 Building materials
Shionogi,$14.26 B,Japan,$48.71,-0.51%,-1.58%,"💊 Pharmaceuticals, 🧬 Biotech"
Nitori Holdings,$14.25 B,Japan,$126.18,1.14%,8.23%,🛍️ Retail
Teradyne,$14.10 B,USA,$92.29,-0.35%,-2.64%,🔌 Electronics
Conagra Brands,$14.10 B,USA,$29.52,-0.91%,-23.30%,🍴 Food
Gen Digital,$14.19 B,USA,$22.15,-0.54%,-2.81%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
Kerry Group,$14.29 B,Ireland,$80.16,-1.22%,-11.80%,🍴 Food
Singapore Airlines,$14.14 B,Singapore,$4.75,0.63%,15.85%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
InterContinental Hotels Group,$14.37 B,UK,$87.26,3.55%,45.65%,"🏨 Hotels, 🌴 Travel"
SS&C Technologies,$14.13 B,USA,$57.11,0.39%,13.02%,"👨‍💻 Software, 👩‍💻 Tech"
Brookfield Asset Management,$14.00 B,Canada,$35.90,-0.39%,12.19%,"💳 Financial services, 💰 Investment"
REA Group,$14.06 B,Australia,$106.46,-1.00%,30.75%,🖥️ Internet
IndusInd Bank,$14.07 B,India,$18.10,0.28%,25.00%,"🏦 Banks, 💳 Financial services"
Marathon Oil,$14.09 B,USA,$24.09,1.82%,-10.25%,"🛢 Oil&Gas, ⚡ Energy"
Poste Italiane,$14.02 B,Italy,$10.83,0.61%,10.85%,📦 Courier
Tencent Music,$14.10 B,China,$8.22,1.61%,2.37%,Entertainment
China Resources Beer,$13.98 B,Hong Kong,$4.31,1.82%,-39.38%,"🍷 Alcoholic beverages, 🥤 Beverages"
Graco,$13.94 B,USA,$82.63,0.47%,20.86%,N/A
Domino's Pizza,$13.77 B,USA,$394.90,-1.77%,5.32%,"🍔 Restaurant chains, 🍴 Food, 🍕 Pizza"
Magellan Midstream Partners,$13.94 B,USA,$69.00,0.67%,38.69%,"🛢 Oil&Gas, ⚡ Energy"
POOLCORP,$13.69 B,USA,$354.12,-2.64%,7.56%,N/A
Amcor,$13.94 B,Switzerland,$9.65,0.10%,-22.37%,📦 Packaging
Bharat Electronics,$13.92 B,India,$1.90,-1.00%,48.44%,"🔌 Electronics, 🚀 Aerospace, 🔫 Defense contractors"
Sumitomo Realty & Development,$13.93 B,Japan,$29.40,-2.21%,16.25%,🏠 Real estate
Logitech,$13.99 B,Switzerland,$89.11,2.04%,48.07%,"👩‍💻 Tech, 💻 Tech Hardware"
Fox Corporation,$14.00 B,USA,$28.01,2.49%,-4.27%,📰 Media/Press
W. P. Carey,$13.68 B,USA,$62.56,-2.23%,-20.78%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Coles Group,$13.80 B,Australia,$10.31,0.38%,-8.92%,🛍️ Retail
Citizens Financial Group,$13.80 B,USA,$29.61,1.54%,-25.19%,"🏦 Banks, 💳 Financial services"
RPM International,$13.78 B,USA,$107.02,0.19%,3.23%,"🧱 Building materials, 🎨 Paint & Coating"
MGM Resorts,$14.14 B,USA,$41.42,4.04%,11.92%,"🏨 Hotels, 🎰 Gambling, Entertainment, 🌴 Travel"
Equity LifeStyle Properties,$13.84 B,USA,$70.81,-0.27%,9.21%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Nordson,$13.63 B,USA,$239.16,-0.80%,1.93%,🏭 Manufacturing
Shimano,$13.79 B,Japan,$152.76,-2.54%,-8.78%,🎾 Sports goods
Toshiba,$13.78 B,Japan,$31.85,0.00%,-0.41%,🔌 Electronics
OMV,$13.77 B,Austria,$42.10,0.57%,-14.60%,"🛢 Oil&Gas, ⚡ Energy"
Manhattan Associates,$13.65 B,USA,$221.74,-0.40%,84.18%,"👨‍💻 Software, 👩‍💻 Tech"
Sumitomo Mitsui Trust Holdings,$13.76 B,Japan,$37.91,-1.17%,23.32%,💳 Financial services
NIO,$13.16 B,China,$7.38,-1.47%,-44.97%,"🚗 Automakers, 🔋 Electric Vehicles"
Insulet,$13.59 B,USA,$194.66,0.06%,-35.83%,Medical devices
Pan Pacific International Holdings,$13.70 B,Japan,$22.97,-0.45%,29.63%,🛍️ Retail
UiPath,$13.94 B,USA,$24.63,5.21%,88.02%,"👨‍💻 Software, 👩‍💻 Tech, 🦾 AI"
VAT Group,$13.55 B,Switzerland,$452.23,1.02%,58.19%,🏭 Manufacturing
United Airlines Holdings,$13.43 B,USA,$40.97,-0.70%,-4.28%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Tryg,$13.50 B,Denmark,$21.82,0.83%,-5.87%,🏦 Insurance
AMEC,$13.48 B,China,$21.78,1.29%,48.06%,"📟 Semiconductors, 👩‍💻 Tech"
Molson Coors,$13.44 B,USA,$62.31,0.29%,18.33%,"🍷 Alcoholic beverages, 🥤 Beverages"
China Southern Airlines,$13.39 B,China,$0.84,0.33%,-22.22%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Informa plc,$13.37 B,UK,$9.75,1.36%,28.97%,N/A
InterGlobe Aviation,$13.41 B,India,$34.77,0.68%,41.63%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Uni-President Enterprises,$13.39 B,Taiwan,$2.36,0.00%,11.32%,🍴 Food
Sekisui House,$13.42 B,Japan,$20.71,-4.21%,13.17%,🏗 Construction
CP All,$13.49 B,Thailand,$1.50,-0.94%,-19.35%,"🛍️ Retail, 🛒 Supermarket Chains"
Bank of Beijing,$13.39 B,China,$0.63,0.44%,0.00%,"🏦 Banks, 💳 Financial services"
Ecopro,$13.38 B,South Korea,$508.09,5.54%,467.89%,N/A
Rentokil Initial,$13.36 B,UK,$26.49,0.19%,-18.77%,N/A
Swatch,$13.30 B,Switzerland,$261.01,1.33%,-4.02%,N/A
New Oriental,$13.31 B,China,$80.39,0.75%,146.14%,🎓 Education
KPN,$13.39 B,Netherlands,$3.39,-0.25%,8.31%,📡 Telecommunication
Subaru,$13.35 B,Japan,$17.76,-4.13%,7.70%,🚗 Automakers
AkzoNobel,$13.30 B,Netherlands,$78.01,0.17%,14.94%,"🧪 Chemicals, 🎨 Paint & Coating"
Eicher Motors,$13.31 B,India,$48.65,-0.88%,20.45%,N/A
China Railway Construction,$13.31 B,China,$1.06,-0.66%,-16.54%,"🚂 Railways, 🏗 Construction"
XP Inc.,$13.03 B,Brazil,$23.83,-1.12%,49.87%,💳 Financial services
Hindalco Industries,$13.26 B,India,$6.24,0.83%,8.90%,N/A
Carlyle Group,$13.32 B,USA,$36.93,1.76%,26.82%,💰 Investment
Rheinmetall,$13.26 B,Germany,$305.75,1.54%,47.36%,"🚘 Automotive Suppliers, 🔫 Defense contractors, 🇩🇪 DAX"
Localiza,$13.01 B,Brazil,$12.40,-0.67%,20.27%,"🚗 Car rental, Rental & Leasing Services"
Suzano,$13.38 B,Brazil,$10.30,2.07%,1.68%,📄 Pulp and paper
Industrivarden,$13.12 B,Sweden,$31.10,0.53%,27.41%,💰 Investment
Bunzl,$13.10 B,UK,$38.76,0.95%,6.13%,N/A
CIMB Group,$13.14 B,Malaysia,$1.23,0.00%,-3.91%,"🏦 Banks, 💳 Financial services"
Chow Tai Fook,$13.18 B,Hong Kong,$1.32,-5.24%,-30.89%,"🛍️ Retail, ⌚ Luxury goods"
Henderson Land Development,$13.17 B,Hong Kong,$2.72,-0.47%,-18.56%,🏠 Real estate
Bank of Baroda,$13.16 B,India,$2.54,0.40%,10.92%,"🏦 Banks, 💳 Financial services"
Shandong Gold Mining,$13.09 B,China,$3.18,-1.13%,8.16%,"⛏️ Mining, ⛏️ Gold mining"
Alliant Energy,$13.11 B,USA,$51.38,-0.85%,-7.37%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Fortum,$13.11 B,Finland,$14.61,-0.07%,-9.03%,"🔋 Electricity, ⚡ Energy"
Vistra,$13.21 B,USA,$36.96,-0.56%,56.68%,"🔋 Electricity, ⚡ Energy"
Brookfield Infrastructure Partners,$13.01 B,Bermuda,$28.16,0.32%,-19.61%,🛣️ Infrastructure
Santander Polska,$13.01 B,Poland,$127.38,0.39%,119.05%,"🏦 Banks, 💳 Financial services"
Next plc,$12.91 B,UK,$100.74,-0.10%,41.99%,"👚 Clothing, 🛍️ Retail"
SEGRO,$12.85 B,UK,$10.47,-1.19%,6.95%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Campbell Soup,$12.79 B,USA,$42.91,-1.22%,-24.81%,🍴 Food
Resona Holdings,$12.92 B,Japan,$5.51,1.85%,16.99%,"🏦 Banks, 💳 Financial services"
Nippon Yūsen,$12.92 B,Japan,$26.77,-2.00%,20.31%,"🚚 Transportation, 🚢 Container shipping, 🚢 Maritime transportation"
Carrefour,$12.87 B,France,$18.55,-0.20%,6.67%,"🛍️ Retail, 🇫🇷 CAC 40, 🛒 Supermarket Chains"
JDE Peet's,$12.95 B,Netherlands,$26.66,0.00%,-8.57%,🥤 Beverages
CK Infrastructure,$12.84 B,Hong Kong,$5.10,1.27%,-0.58%,🛣️ Infrastructure
Corebridge Financial,$12.81 B,USA,$20.35,0.99%,1.70%,"🏦 Insurance, 💳 Financial services, 💰 Investment, Asset Management"
Amundi,$12.68 B,France,$62.38,1.14%,9.79%,"💰 Investment, Asset Management"
Rural Electrification Corp,$12.82 B,India,$4.86,2.75%,249.64%,N/A
J.M. Smucker Company,$12.66 B,USA,$119.33,-1.43%,-23.26%,🍴 Food
Fidelity National Financial,$12.71 B,USA,$46.72,-0.21%,25.42%,🏦 Insurance
Hong Kong and China Gas,$12.78 B,Hong Kong,$0.69,0.75%,-21.59%,"🛢 Oil&Gas, ⚡ Energy"
E.SUN Bank,$12.75 B,Taiwan,$0.81,0.39%,1.25%,"🏦 Banks, 💳 Financial services"
Albertsons,$12.77 B,USA,$22.19,0.68%,2.87%,"🛍️ Retail, 🛒 Supermarket Chains"
NICE,$12.86 B,Israel,$203.20,1.07%,2.17%,"👨‍💻 Software, 👩‍💻 Tech"
Host Hotels & Resorts,$12.87 B,USA,$17.99,1.18%,1.70%,"🏨 Hotels, 🏠 Real estate, 💰 Investment, 🌴 Travel"
International Paper,$12.74 B,USA,$36.84,0.05%,1.85%,📄 Pulp and paper
News Corp,$12.68 B,USA,$22.94,0.00%,24.74%,📰 Media/Press
Franklin Resources,$12.64 B,USA,$25.57,-0.43%,-4.84%,💰 Investment
China Steel,$12.79 B,Taiwan,$1.39,-0.46%,-7.95%,"🔩 Steel producers, 🔩 Steel industry"
Gold Fields,$12.69 B,South Africa,$14.09,-2.22%,28.21%,"⛏️ Mining, ⛏️ Gold mining"
Owens Corning,$12.74 B,USA,$143.36,1.67%,55.54%,🧱 Building materials
Lundbergföretagen,$12.70 B,Sweden,$51.23,0.15%,20.80%,💰 Investment
Unity Software,$12.42 B,USA,$32.70,2.51%,-7.42%,"👨‍💻 Software, 👩‍💻 Tech, 🎮 Video games"
Shinkin Central Bank,$12.65 B,Japan,"$1,887",-0.04%,-3.99%,"🏦 Banks, 💳 Financial services"
BB Seguridade Participações,$12.56 B,Brazil,$6.32,0.03%,4.46%,🏦 Insurance
bioMérieux,$12.47 B,France,$105.63,0.99%,4.93%,"⚕️ Diagnostics and Testing, 🧬 Biotech"
